{{0.0;0;NO_WINNER;false;[300.0, 110.0];10;1.0;[0.0, 0.0];[150.0, 100.0];ACTION_NIL;1;0;0;1000;true;[ACTION_USE, ACTION_LEFT, ACTION_RIGHT];{};
[4,3,986,0.0 : 10.0,-1.0 : -1.0,122.0]
[4,3,1019,0.0 : 20.0,-1.0 : -1.0,442.0]
[4,3,988,10.0 : 10.0,-1.0 : -1.0,242.0]
[4,3,1021,10.0 : 20.0,-1.0 : -1.0,562.0]
[4,3,990,20.0 : 10.0,-1.0 : -1.0,562.0]
[4,3,1023,20.0 : 20.0,-1.0 : -1.0,882.0]
[4,3,1216,20.0 : 80.0,-1.0 : -1.0,7002.0]
[4,3,1264,20.0 : 90.0,-1.0 : -1.0,8722.0]
[4,3,1218,30.0 : 80.0,-1.0 : -1.0,7522.0]
[4,3,1220,40.0 : 80.0,-1.0 : -1.0,8242.0]
[4,3,1222,50.0 : 80.0,-1.0 : -1.0,9162.0]
[4,3,1224,60.0 : 80.0,-1.0 : -1.0,10282.0]
[4,3,1269,60.0 : 90.0,-1.0 : -1.0,12002.0]
[4,3,1089,70.0 : 40.0,-1.0 : -1.0,6722.0]
[4,3,1127,70.0 : 50.0,-1.0 : -1.0,7642.0]
[4,3,1091,80.0 : 40.0,-1.0 : -1.0,8242.0]
[4,3,1093,90.0 : 40.0,-1.0 : -1.0,9962.0]
[4,3,1095,100.0 : 40.0,-1.0 : -1.0,11882.0]
[4,3,1131,100.0 : 50.0,-1.0 : -1.0,12802.0]
[4,3,1230,110.0 : 80.0,-1.0 : -1.0,18882.0]
[4,3,1275,110.0 : 90.0,-1.0 : -1.0,20602.0]
[4,3,1232,120.0 : 80.0,-1.0 : -1.0,21202.0]
[4,3,1277,120.0 : 90.0,-1.0 : -1.0,22922.0]
[4,3,1234,130.0 : 80.0,-1.0 : -1.0,23722.0]
[4,3,1236,140.0 : 80.0,-1.0 : -1.0,26442.0]
[4,3,1238,150.0 : 80.0,-1.0 : -1.0,29362.0]
[0,1,1318,150.0 : 100.0,-1.0 : -1.0,33002.0]
[4,3,1240,160.0 : 80.0,-1.0 : -1.0,32482.0]
[4,3,1242,170.0 : 80.0,-1.0 : -1.0,35802.0]
[4,3,1283,170.0 : 90.0,-1.0 : -1.0,37522.0]
[4,3,1244,180.0 : 80.0,-1.0 : -1.0,39322.0]
[4,3,1285,180.0 : 90.0,-1.0 : -1.0,41042.0]
[4,3,1105,190.0 : 40.0,-1.0 : -1.0,38162.0]
[4,3,1141,190.0 : 50.0,-1.0 : -1.0,39082.0]
[4,3,1107,200.0 : 40.0,-1.0 : -1.0,42082.0]
[4,3,1109,210.0 : 40.0,-1.0 : -1.0,46202.0]
[4,3,1111,220.0 : 40.0,-1.0 : -1.0,50522.0]
